zip_code,devices,households
65669,46,34
65672,1579,1167
65686,205,169
65705,262,205
65708,1212,915
65714,3696,2584
65721,3512,2491
65723,219,181
65726,6,3
65737,821,603
65739,323,174
65740,608,451
65742,17,9
65753,43,30
65754,73,42
65769,82,61
65771,19,14
66006,36,1
66062,65,45
66064,641,493
66071,1082,792
66083,635,398
66701,824,669
70518,76,50
70528,4,4
70533,14,11
70544,224,157
70554,399,309
70560,839,569
70569,24,14
70586,982,757
70592,28,21
70601,9388,6544
70605,13033,8289
70607,6373,4423
70611,7,6
70615,2882,1944
70630,18,16
70634,4480,2804
70646,113,71
70647,1123,732
70650,57,35
70659,43,25
70663,7616,5021
70665,598,405
70668,74,51
70669,49,35
71006,117,57
71023,280,182
71024,35,27
71037,4392,2611
71039,64,45
71051,59,43
71055,2864,1864
71067,538,329
71068,111,82
71073,178,128
71110,792,533
71111,10501,6371
71112,7346,4633
71220,5059,3497
71229,25,18
71235,180,106
71245,618,416
71247,117,76
71251,447,333
71261,215,144
71268,50,36
71270,6845,4712
71272,10,9
71275,180,114
71301,6249,3854
71302,3772,2376
71303,7539,4627
71320,1,1
71322,29,22
71325,70,45
71327,330,241
71328,1477,962
71330,2,1
71339,5,3
71341,128,87
71346,103,82
71350,12,7
71351,22,16
71355,198,145
71359,18,11
71360,10148,6593
71362,133,101
71369,104,77
71403,369,260
71405,1805,1148
71407,19,12
71409,1254,793
71423,520,324
71426,12,7
71430,81,51
71439,98,66
71446,4329,2818
71449,466,370
71457,6411,4153
71461,615,403
71462,47,35
71467,657,433
71469,1,1
71483,1720,1148
71485,214,142
71486,243,188
71497,2,2
71601,2,1
71602,773,569
71730,6848,4756
71743,256,198
71749,79,51
71750,3,3
71753,2778,1899
71765,30,18
71770,323,225
71909,4385,2897
71923,2276,1631
71949,65,43
72007,1204,760
72023,6520,4055
72032,8431,3762
72033,1195,437
72034,25916,10531
72035,203,27
72043,6,5
72075,11,8
72076,1361,856
72079,34,22
72086,698,400
72087,6,4
72099,51,43
72104,2172,1564
72110,1576,1108
72112,1701,1239
72113,4,2
72120,142,97
72132,108,84
72150,24,22
72157,4,4
72160,1470,1058
72176,959,641
72342,776,541
72355,341,227
72366,237,186
72374,128,77
72390,1383,1006
72404,8316,5441
72411,508,370
72416,381,274
72417,9,7
72433,386,295
72455,2327,1771
72467,39,33
72473,495,362
72476,1066,811
72501,4199,2849
72527,127,89
72543,3164,2244
72571,2,2
72579,151,101
72619,601,430
72626,209,149
72634,472,349
72635,489,362
72642,578,421
72651,239,180
72653,5305,3783
72801,3530,2616
72802,4201,2798
72821,45,31
72823,289,230
72830,1518,1122
72837,470,299
72846,191,146
72847,105,65
72855,60,48
72858,515,358
72927,78,58
72949,296,226
73005,344,288
73018,2730,1968
73048,110,88
73051,128,96
73052,226,170
73057,73,58
73068,265,217
73075,1143,866
73077,831,635
73080,483,363
73095,27,19
73096,1202,868
73098,386,299
73438,192,150
73456,83,72
73463,87,68
73503,624,470
73703,10072,6486
73717,869,741
73801,1125,824
74023,1925,1327
74030,586,400
74059,805,552
74074,5501,3832
74075,4434,3229
74078,167,78
74331,3,3
74344,1272,938
74401,3194,2183
74403,6875,4596
74431,130,91
74437,774,576
74447,2102,1504
74467,1746,1177
74477,1,1
74743,558,422
74745,216,172
74868,1389,1008
74884,589,427
74953,666,490
74955,378,299
75002,393,222
75009,809,419
75010,2,1
75013,460,348
75022,18,8
75028,440,346
75032,1184,595
